Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,source_page,source_url,datatable_index
2015,Merchandise Exports_Crude Oil (Millions of US Dollars),145.98,150.45,148.70,242.18,181.07,227.87,102.12,181.69,134.23,138.49,171.27,107.23,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015,Merchandise Exports_Cocoa Beans (Millions of US Dollars),301.83,257.85,238.19,179.08,109.65,74.89,93.25,49.75,49.65,55.26,291.39,270.14,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015,Merchandise Exports_Gold (Millions of US Dollars),347.16,283.51,187.06,306.82,236.25,292.66,269.99,263.40,295.23,267.81,238.00,224.71,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015,Merchandise Exports (f.o.b) (Millions of US Dollars),"1,044.72",971.80,865.96,"1,010.16",830.65,873.77,727.21,777.80,696.32,731.88,922.57,868.48,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014,Merchandise Imports_Oil & Gas (Millions of US Dollars),273.36,388.99,323.96,325.13,242.00,256.31,237.50,327.83,327.41,466.73,256.12,268.60,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),-231.90,-126.43,143.12,-95.52,-0.97,59.63,-88.09,-203.64,-167.73,-410.51,-108.86,-152.53,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014,Merchandise Imports_Non-Oil (Millions of US Dollars),"1,073.15",923.92,815.27,908.85,900.42,908.64,856.51,832.64,851.77,931.25,932.54,971.28,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014,Merchandise Imports (f.o.b) (Millions of US Dollars),"1,346.51","1,312.91","1,139.23","1,233.98","1,142.42","1,164.95","1,094.01","1,160.47","1,179.18","1,397.99","1,188.66","1,239.89",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014,Merchandise Exports_Crude Oil (Millions of US Dollars),315.46,327.34,310.92,315.26,320.69,433.95,307.56,305.56,288.97,322.45,309.10,167.69,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014,Merchandise Exports_Other Exports (Millions of US Dollars),226.09,249.68,256.50,271.83,266.11,275.23,223.52,215.97,261.11,263.65,304.53,255.67,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),9.58,9.77,11.50,15.60,17.77,16.84,16.74,16.37,18.37,16.59,16.62,19.29,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014,Merchandise Exports_Cocoa Beans (Millions of US Dollars),194.65,237.98,271.11,162.53,191.10,152.33,85.86,48.16,44.83,25.35,136.57,298.37,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014,Merchandise Exports_Gold (Millions of US Dollars),368.83,361.72,432.32,373.24,345.79,346.23,372.24,370.77,398.17,359.44,312.98,346.33,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014,Merchandise Exports (f.o.b) (Millions of US Dollars),"1,114.61","1,186.48","1,282.35","1,138.46","1,141.46","1,224.58","1,005.92",956.83,"1,011.45",987.48,"1,079.80","1,087.35",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),-32.37,-200.27,-86.83,-428.85,-243.20,-338.60,-344.34,-556.27,-485.69,-733.06,-254.26,-144.69,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013,Merchandise Imports_Oil & Gas (Millions of US Dollars),263.22,353.43,362.17,308.66,292.41,291.16,179.38,344.41,215.48,325.24,322.41,292.47,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013,Merchandise Imports_Non-Oil (Millions of US Dollars),"1,174.79","1,010.16","1,074.86","1,283.53","1,212.56","1,126.73","1,223.55","1,162.62","1,192.51","1,381.73","1,131.34","1,075.54",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013,Merchandise Imports (f.o.b) (Millions of US Dollars),"1,438.01","1,363.59","1,437.03","1,592.18","1,504.98","1,417.89","1,402.93","1,507.03","1,407.99","1,706.98","1,453.75","1,368.01",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
