date,year,month,month_name,variable,value,source_page,source_url,datatable_index,quarter,quarter_name
1980-04-01,1980,4,Apr,Inflation Headline (%) Year-on-Year,20.15,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1980-05-01,1980,5,May,Inflation Headline (%) Year-on-Year,21.36,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1980-06-01,1980,6,Jun,Inflation Headline (%) Year-on-Year,40.55,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1980-07-01,1980,7,Jul,Inflation Headline (%) Year-on-Year,67.51,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1980-08-01,1980,8,Aug,Inflation Headline (%) Year-on-Year,78.32,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1980-09-01,1980,9,Sep,Inflation Headline (%) Year-on-Year,82.33,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1980-10-01,1980,10,Oct,Inflation Headline (%) Year-on-Year,85.18,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1980-11-01,1980,11,Nov,Inflation Headline (%) Year-on-Year,89.29,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1980-12-01,1980,12,Dec,Inflation Headline (%) Year-on-Year,87.84,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1980-12-31,1980,,,Inflation Headline (%) Year-on-Year,17.29,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1981-01-01,1981,1,Jan,Inflation Headline (%) Year-on-Year,101.71,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1981-02-01,1981,2,Feb,Inflation Headline (%) Year-on-Year,119.48,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1981-03-01,1981,3,Mar,Inflation Headline (%) Year-on-Year,122.37,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1981-04-01,1981,4,Apr,Inflation Headline (%) Year-on-Year,119.71,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1981-05-01,1981,5,May,Inflation Headline (%) Year-on-Year,119.56,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1981-06-01,1981,6,Jun,Inflation Headline (%) Year-on-Year,118.21,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1981-07-01,1981,7,Jul,Inflation Headline (%) Year-on-Year,120.85,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1981-08-01,1981,8,Aug,Inflation Headline (%) Year-on-Year,121.53,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1981-09-01,1981,9,Sep,Inflation Headline (%) Year-on-Year,123.14,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1981-10-01,1981,10,Oct,Inflation Headline (%) Year-on-Year,125.52,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1981-11-01,1981,11,Nov,Inflation Headline (%) Year-on-Year,110.12,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
