Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,source_page,source_url,datatable_index,First Quarter,Second Quarter,Third Quarter,Fourth Quarter,col_3
1997,Inflation Headline (%) Year-on-Year,31.51,30.56,29.22,29.09,29.57,29.05,29.17,28.22,27.73,27.42,24.19,20.83,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1996,Inflation Headline (%) Year-on-Year,69.20,68.03,64.78,60.26,54.24,48.42,42.64,39.21,36.51,34.29,33.17,32.66,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1995,Inflation Headline (%) Year-on-Year,35.58,38.39,43.59,49.93,56.12,61.85,67.20,69.94,69.80,69.14,70.24,70.82,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1994,Inflation Headline (%) Year-on-Year,22.81,21.96,21.53,21.05,21.00,20.89,22.32,23.68,26.10,29.44,31.70,34.18,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1993,Inflation Headline (%) Year-on-Year,21.46,22.97,23.27,23.05,23.93,26.04,25.18,25.22,26.89,26.49,26.61,27.66,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1992,Inflation Headline (%) Year-on-Year,8.69,7.72,7.33,8.21,8.87,8.37,10.23,11.69,11.48,11.72,12.74,13.33,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1991,Inflation Headline (%) Year-on-Year,30.38,26.61,24.88,22.29,19.77,17.30,15.28,14.61,13.22,13.95,12.89,10.26,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1990,Inflation Headline (%) Year-on-Year,33.04,35.95,36.07,36.01,35.61,36.42,39.01,40.21,41.36,39.32,37.24,35.90,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1989,Inflation Headline (%) Year-on-Year,26.28,25.53,24.81,24.38,23.27,22.76,23.54,23.79,24.40,25.61,28.05,30.46,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1988,Inflation Headline (%) Year-on-Year,33.92,34.14,33.15,32.48,33.56,33.35,31.47,30.48,30.03,29.92,28.74,26.56,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
